Epoch 95: 25it [00:00, 36.62it/s, loss=8.98e+3]
Epoch 96: 25it [00:00, 37.69it/s, loss=6.73e+3]
Epoch 97: 25it [00:00, 37.65it/s, loss=7.77e+3]
Epoch 98: 25it [00:00, 37.88it/s, loss=1.22e+4]
Epoch 99: 25it [00:00, 39.01it/s, loss=1.61e+4]
Epoch 100: 25it [00:00, 37.44it/s, loss=1.41e+4]
Epoch 101: 25it [00:00, 36.06it/s, loss=5.35e+3]
Epoch 102: 25it [00:00, 36.65it/s, loss=1.14e+4]
Epoch 103: 25it [00:00, 36.65it/s, loss=5.63e+3]
Epoch 104: 25it [00:00, 36.63it/s, loss=5.75e+3]
Epoch 105: 25it [00:00, 36.63it/s, loss=1.68e+4]
Epoch 106: 25it [00:00, 36.12it/s, loss=5.5e+3]
Epoch 107: 25it [00:00, 36.44it/s, loss=8.59e+3]
Epoch 108: 25it [00:00, 36.92it/s, loss=7.47e+3]
Epoch 109: 25it [00:00, 37.03it/s, loss=8.65e+3]
Epoch 110: 25it [00:00, 36.41it/s, loss=4.33e+3]
Epoch 111: 25it [00:00, 36.80it/s, loss=6.25e+3]
Epoch 112: 25it [00:00, 36.77it/s, loss=5.84e+3]
Epoch 113: 25it [00:00, 36.67it/s, loss=6.84e+3]
Epoch 114: 25it [00:00, 37.02it/s, loss=8.53e+3]
Epoch 115: 25it [00:00, 36.63it/s, loss=5.7e+3]
Epoch 116: 25it [00:00, 36.83it/s, loss=4.26e+3]
Epoch 117: 25it [00:00, 37.81it/s, loss=9.2e+3]
Epoch 118: 25it [00:00, 37.80it/s, loss=4.12e+3]
Epoch 119: 25it [00:00, 37.19it/s, loss=2.86e+3]
Epoch 120: 25it [00:00, 38.24it/s, loss=3.41e+3]
Epoch 121: 25it [00:00, 37.19it/s, loss=7.13e+3]
Epoch 122: 25it [00:00, 36.47it/s, loss=4.64e+3]
Epoch 123: 25it [00:00, 35.47it/s, loss=7.74e+3]
Epoch 124: 25it [00:00, 37.56it/s, loss=8.84e+3]
